00003000     194560 SE\CISE00.BIN
00032800      98304 SE\CISE01.BIN
0004a800      49152 SE\CISE02.BIN
00056800     102400 SE\CISE03.BIN
0006f800      86016 SE\CISE04.BIN
00084800      10240 SE\CISE07.BIN
00087000      36864 SE\CISE08.BIN
00090000      32768 SE\CISE09.BIN
00098000     106496 SE\CISE10.BIN
000b2000      43008 SE\CISE11.BIN
000bc800     167936 SE\CISE12.BIN
000e5800      12288 SE\CISE13.BIN
000e8800     262144 SE\CISE14.BIN
00128800      10240 SE\CISE15.BIN
0012b000      36864 SE\CISE16.BIN
00134000      43008 SE\CISE17.BIN
0013e800     258048 SE\CISE19.BIN
0017d800     456704 SE\CISE21.BIN
001ed000     280576 SE\CISE31.BIN
00231800     147456 SE\CISE32.BIN
00255800      33680 ICON1.ICO
0025e000     526336 4\400.BIN
002de800    9226240 BGM\CIBG01.BIN
00bab000   18448384 BGM\CIBG02.BIN
01d43000    4612096 BGM\CIBG03.BIN
021a9000   10444800 BGM\CIBG04.BIN
02b9f000    8939520 BGM\CIBG05.BIN
03425800   15036416 BGM\CIBG06.BIN
0427c800    7852032 BGM\CIBG09.BIN
049f9800    7450624 BGM\CIBG10.BIN
05114800   10983424 BGM\CIBG11.BIN
05b8e000    9226240 BGM\CIBG12.BIN
0645a800     288768 LOGO_BG.BIN
064a1000     288768 0\TITLE_BG.BIN
064e7800     125040 0\TITLE00.BIN
06506800     288768 MAINMENU.BIN
0654d000     747520 1\MG1_BGP.BIN
06603800     747520 1\MG1_BG.BIN
066ba000     744976 1\100.BIN
06770000     307224 1\101.BIN
067bb800     310892 1\102.BIN
06807800     306216 1\103.BIN
06852800      74572 1\104.BIN
06865000      56216 1\105.BIN
06873000      97064 1\106.BIN
0688b000      71324 1\107.BIN
0689c800      33472 1\108.BIN
068a5000      32172 1\109.BIN
068ad000      23396 1\110.BIN
068b3000      35944 1\111.BIN
068bc000      68792 1\112.BIN
068cd000      16212 1\113.BIN
068d1000      25892 1\114.BIN
068d7800      14720 1\115.BIN
068db800      14912 1\116.BIN
068df800      14856 1\117.BIN
068e3800      13336 1\118.BIN
068e7000      15336 1\119.BIN
068eb000      29120 1\120.BIN
068f2800       8500 1\121.BIN
068f5000      68956 1\122.BIN
06906000     110648 1\123.BIN
06921800      98484 1\124.BIN
0693a000      83232 1\125.BIN
0694e800      16384 VOICE\CIVO14_1.BIN
06952800      32768 VOICE\CIVO14_2.BIN
0695a800      34816 VOICE\CIVO14_3.BIN
06963000      22528 VOICE\CIVO15_1.BIN
06968800      30720 VOICE\CIVO15_2.BIN
06970000      28672 VOICE\CIVO15_3.BIN
06977000      22528 VOICE\CIVO16_1.BIN
0697c800      22528 VOICE\CIVO16_2.BIN
06982000      49152 VOICE\CIVO16_3.BIN
